Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.55229878425598,-1.64539110660553,-1.60047078132629,-1.43037283420563,-1.44596064090729,-1.36493408679962,-1.35471308231354,-1.54022777080536,-1.53007459640503,-1.50287592411041,-1.41931009292603,-1.49336087703705,-1.15226578712463,-1.18368434906006,-1.15493178367615
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.50775218009949,-1.47831559181213,-1.47410047054291,-1.37553513050079,-1.40146291255951,-1.36164617538452,-1.39739489555359,-1.29146802425385,-1.38659679889679,-1.50175786018372,-1.5191125869751,-1.61153948307037,-1.67058789730072,-1.88003480434418,-1.98701369762421
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.71142148971558,-2.57915186882019,-2.50205969810486,-2.41856145858765,-2.51934909820557,-2.41106843948364,-2.56262516975403,-2.6621561050415,-2.7949755191803,-2.75344133377075,-2.65253973007202,-2.702721118927,-2.51867604255676,-2.54495596885681,-2.48408055305481
Afghanistan,AFG,Regulatory Quality: Estimate,RQ.EST,-1.66450762748718,-1.51652824878693,-1.53632390499115,-1.19257974624634,-1.19309020042419,-1.12413370609283,-1.0188262462616,-1.33969509601593,-1.36301040649414,-1.13820362091064,-1.11377799510956,-1.38916301727295,-1.31168210506439,-1.27180624008179,-1.26642525196075
Afghanistan,AFG,Voice and Accountability: Estimate,VA.EST,-1.37549519538879,-1.40446734428406,-1.33597695827484,-1.26743006706238,-1.24013912677765,-1.13552260398865,-1.11762809753418,-1.03783690929413,-0.990954160690308,-1.00768673419952,-1.00671291351318,-1.07826685905457,-1.56838941574097,-1.75352871417999,-1.85290133953094
Albania,ALB,Control of Corruption: Estimate,CC.EST,-0.545270919799805,-0.531616508960724,-0.701794147491455,-0.778729438781738,-0.751372694969177,-0.5865718126297,-0.54514080286026,-0.472373723983765,-0.481386840343475,-0.546018898487091,-0.564274072647095,-0.573538780212402,-0.577179968357086,-0.408189445734024,-0.332218527793884
Albania,ALB,Government Effectiveness: Estimate,GE.EST,-0.255941480398178,-0.279453217983246,-0.202177077531815,-0.26892501115799,-0.324457377195358,-0.0497708097100258,0.0275752544403076,0.0290823616087437,0.0985528454184532,0.0805245339870453,-0.0623007006943226,-0.155121222138405,-0.0359850227832794,0.0645405352115631,0.250855356454849
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.0451405122876167,-0.191482901573181,-0.282379418611526,-0.143631592392921,0.0919297859072685,0.485986232757568,0.341639041900635,0.337447881698608,0.373770743608475,0.366779267787933,0.11010505259037,0.0886125192046165,0.196371927857399,0.106261312961578,0.183348968625069
Albania,ALB,Regulatory Quality: Estimate,RQ.EST,0.241446003317833,0.233281955122948,0.283972561359406,0.240491986274719,0.25416025519371,0.279037684202194,0.174237310886383,0.186607629060745,0.220610320568085,0.256079822778702,0.272065460681915,0.221967235207558,0.175859391689301,0.159353822469711,0.171953663229942
Albania,ALB,Voice and Accountability: Estimate,VA.EST,0.141477331519127,0.123838223516941,0.0623337626457214,0.0220640376210213,0.0488644428551197,0.143689781427383,0.157135263085365,0.171097502112389,0.203885167837143,0.188786596059799,0.141965284943581,0.0863254442811012,0.0855889618396759,0.141740188002586,0.168997228145599
