Country Code,CC.EST,GE.EST,PV.EST,RQ.EST,VA.EST
ABW,1.0753330787022912,1.0648517012596133,1.2950599034627281,1.1570487419764197,1.2249490817387896
AFG,-1.424724833170573,-1.5229545672734588,-2.587852239608765,-1.2959835608800248,-1.2781957626342773
AGO,-1.1742088516553237,-1.0646716475486757,-0.41795292496681213,-0.9018624822298686,-1.0024618903795879
AIA,1.1504188776016238,1.1573339144388823,1.3115421573321027,1.0468840479850774,0.9983101725578305
ALB,-0.5597117722034455,-0.07220006883144386,0.13464122066895168,0.22474167346954343,0.12585261439283682
AND,1.2354308207829794,1.662596360842386,1.412560017903645,1.2813213785489406,1.1948827743530281
ANT,0.7995030045509338,0.7454438805580138,0.9578050851821903,0.8705743551254275,0.3311094224452972
ARE,1.094029382864634,1.2987784663836162,0.7352172334988912,0.8495752155780799,-1.0555523037910466
ARG,-0.3589984585841497,-0.14297718579570443,-0.0011241674966489081,-0.6378941595554353,0.44823285738627117
ARM,-0.4050993467836329,-0.19353573968013124,-0.3575919489065806,0.2088251344859601,-0.3746077376107376
ASM,1.0340568145116174,0.5260880172252655,1.0641170223553973,0.2377942383289337,1.0237921211454601
ATG,0.674078357219696,0.16284460499882705,0.905624266465505,0.47719831168651583,0.6332752128442128
AUS,1.8343933423360193,1.5882590055465695,0.9340533693631495,1.8414742390314756,1.3863166570663452
AUT,1.4575874328613287,1.5353504578272514,1.0336297988891598,1.423794309298196,1.3981707811355586
AZE,-1.0232033451398221,-0.3123299000163874,-0.652015569806099,-0.30457182625929513,-1.4455371618270871
BDI,-1.3846678018569947,-1.2574449221293131,-1.520623787244161,-0.958325099945069,-1.2629438002904252
BEL,1.4761998414993287,1.3846307833989466,0.6398016174634298,1.263758985201518,1.3356917778650919
BEN,-0.46076541344324745,-0.4878973772128425,-0.028228710964322057,-0.45224020083745314,0.12633012061317758
BFA,-0.26671460370222716,-0.6809524377187093,-0.9708220819632217,-0.3553789754708608,-0.2561532092591126
BGD,-0.9727720737457278,-0.7552247365315755,-1.188330598672231,-0.8877798636754354,-0.5600411156813304
BGR,-0.24650344947973887,-0.02471381686627867,0.29813636081914113,0.5556191960970561,0.39010620713233946
BHR,0.11188870196541141,0.4473668456077576,-0.7412651648124058,0.6860103011131289,-1.3058488210042307
